N,1,False,44444444,44444444,
L,1,False,44444444,24444444,
Ma,1,False,44444444,42444444,
Mb,1,False,44444444,44244444,
H,1,False,44444444,44424444,
_6,1,False,44444444,44444444,
_4,1,False,44444444,44444444,
_6off,1,False,44444444,44444444,
_4off,1,False,44444444,44444444,
_6_6,1,False,44444444,44444444,
_4_4,1,False,44444444,44444444,
_8,1,False,44444444,44444444,
_9,1,False,44444444,44444444,
_7,1,False,44444444,44444444,
_2_8,1,False,44444444,44444444,
_2_9,1,False,44444444,44444444,
_2_7,1,False,44444444,44444444,
_6L,1,False,44444444,44444444,
_6Ma,1,False,44444444,44444444,
_6Mb,1,False,44444444,44444444,
_6H,1,False,44444444,44444444,
_4L,1,False,44444444,44444444,
_4Ma,1,False,44444444,44444444,
_4Mb,1,False,44444444,44444444,
_4H,1,False,44444444,44444444,
_2L,1,False,44444444,44444444,
_2Ma,1,False,44444444,44444444,
_2Mb,1,False,44444444,44444444,
_2H,1,False,44444444,44444444,
_8L,1,False,44444444,44444444,
_8Ma,1,False,44444444,44444444,
_8Mb,1,False,44444444,44444444,
_8H,1,False,44444444,44444444,
SP0_L,1,False,44444444,44444444,
SP0_Ma,1,False,44444444,44444444,
SP0_Mb,1,False,44444444,44444444,
SP0_H,1,False,44444444,44444444,
SP1_L,1,False,44444444,44444444,
SP1_Ma,1,False,44444444,44444444,
SP1_Mb,1,False,44444444,44444444,
SP1_H,1,False,44444444,44444444,
SP2_L,1,False,44444444,44444444,
SP2_Ma,1,False,44444444,44444444,
SP2_Mb,1,False,44444444,44444444,
SP2_H,1,False,44444444,44444444,
OD0_L,1,False,44444444,44444444,
OD0_Ma,1,False,44444444,44444444,
OD0_Mb,1,False,44444444,44444444,
OD0_H,1,False,44444444,44444444,
OD1_L,1,False,44444444,44444444,
OD1_Ma,1,False,44444444,44444444,
OD1_Mb,1,False,44444444,44444444,
OD1_H,1,False,44444444,44444444,
